timestamp,total_workers,active_workers,queue_size,requests_per_second,avg_response_time,environment
2026-02-14T13:49:32.027532,3,3,0,0,0,stage
2026-02-14T13:49:37.029019,3,3,0,0,0,stage
2026-02-14T13:49:42.001257,3,3,0,0,0,stage
2026-02-14T13:49:42.030697,3,3,0,0,0,stage
2026-02-14T13:49:47.003803,3,3,0,0,0,stage
2026-02-14T13:49:47.032147,3,3,0,0,0,stage
2026-02-14T13:49:52.005903,3,3,0,0,0,stage
2026-02-14T13:49:52.033219,3,3,0,0,0,stage
2026-02-14T13:49:53.671281,3,3,0,0,0,stage
2026-02-14T13:49:57.009758,3,3,0,0,0,stage
2026-02-14T13:49:57.035052,3,3,0,0,0,stage
2026-02-14T13:49:58.675859,3,3,0,0,0,stage
2026-02-14T13:50:02.013163,3,3,0,0,0,stage
2026-02-14T13:50:02.037217,3,3,0,0,0,stage
2026-02-14T13:50:03.441660,3,3,0,0,0,stage
2026-02-14T13:50:03.679688,3,3,0,0,0,stage
2026-02-14T13:50:07.014744,3,3,0,0,0,stage
2026-02-14T13:50:07.038457,3,3,0,0,0,stage
2026-02-14T13:50:08.443714,3,3,0,0,0,stage
2026-02-14T13:50:08.681071,3,3,0,0,0,stage
2026-02-14T13:50:12.017640,3,3,0,0,0,stage
2026-02-14T13:50:12.039871,3,3,0,0,0,stage
2026-02-14T13:50:13.446661,3,3,0,0,0,stage
2026-02-14T13:50:13.683663,3,3,0,0,0,stage
2026-02-14T13:50:17.019636,3,3,0,0,0,stage
2026-02-14T13:50:17.041071,3,3,0,0,0,stage
2026-02-14T13:50:18.448559,3,3,0,0,0,stage
2026-02-14T13:50:18.685832,3,3,0,0,0,stage
2026-02-14T13:50:22.022753,3,3,0,0,0,stage
2026-02-14T13:50:22.043111,3,3,0,0,0,stage
2026-02-14T13:50:23.450266,3,3,0,0,0,stage
2026-02-14T13:50:23.688274,3,3,0,0,0,stage
2026-02-14T13:50:27.025681,3,3,0,0,0,stage
2026-02-14T13:50:27.046132,3,3,0,0,0,stage
2026-02-14T13:50:28.453179,3,3,0,0,0,stage
2026-02-14T13:50:28.691333,3,3,0,0,0,stage
2026-02-14T13:50:32.028862,3,3,0,0,0,stage
2026-02-14T13:50:32.048720,3,3,0,0,0,stage
2026-02-14T13:50:33.455222,3,3,0,0,0,stage
2026-02-14T13:50:33.693997,3,3,0,0,0,stage
2026-02-14T13:50:37.031041,3,3,0,0,0,stage
2026-02-14T13:50:37.051828,3,3,0,0,0,stage
2026-02-14T13:50:38.458360,3,3,0,0,0,stage
2026-02-14T13:50:38.697050,3,3,0,0,0,stage
2026-02-14T13:50:42.033993,3,3,0,0,0,stage
2026-02-14T13:50:42.055706,3,3,0,0,0,stage
2026-02-14T13:50:43.461246,3,3,0,0,0,stage
2026-02-14T13:50:43.699952,3,3,0,0,0,stage
2026-02-14T13:50:47.037745,3,3,0,0,0,stage
2026-02-14T13:50:47.060398,3,3,0,0,0,stage
2026-02-14T13:50:48.464224,3,3,0,0,0,stage
2026-02-14T13:50:48.702432,3,3,0,0,0,stage
2026-02-14T13:50:52.039842,3,3,0,0,0,stage
2026-02-14T13:50:52.062286,3,3,0,0,0,stage
2026-02-14T13:50:53.465834,3,3,0,0,0,stage
2026-02-14T13:50:53.704482,3,3,0,0,0,stage
2026-02-14T13:50:57.042722,3,3,0,0,0,stage
2026-02-14T13:50:57.064342,3,3,0,0,0,stage
2026-02-14T13:50:58.468006,3,3,0,0,0,stage
2026-02-14T13:50:58.706958,3,3,0,0,0,stage
2026-02-14T13:51:02.046161,3,3,0,0,0,stage
2026-02-14T13:51:02.067094,3,3,0,0,0,stage
2026-02-14T13:51:03.470284,3,3,0,0,0,stage
2026-02-14T13:51:03.708577,3,3,0,0,0,stage
2026-02-14T13:51:07.049027,3,3,0,0,0,stage
2026-02-14T13:51:07.070207,3,3,0,0,0,stage
2026-02-14T13:51:08.472866,3,3,0,0,0,stage
2026-02-14T13:51:08.711984,3,3,0,0,0,stage
2026-02-14T13:51:12.051403,3,3,0,0,0,stage
2026-02-14T13:51:12.073057,3,3,0,0,0,stage
2026-02-14T13:51:13.475388,3,3,0,0,0,stage
2026-02-14T13:51:13.714344,3,3,0,0,0,stage
2026-02-14T13:51:17.076033,3,3,0,0,0,stage
2026-02-14T13:51:18.715785,3,3,0,0,0,stage
2026-02-14T13:51:22.077208,3,3,0,0,0,stage
2026-02-14T13:51:23.717334,3,3,0,0,0,stage
2026-02-14T13:51:27.078568,3,3,0,0,0,stage
2026-02-14T13:51:28.718741,3,3,0,0,0,stage
2026-02-14T13:51:29.170101,3,3,0,0,0,stage
2026-02-14T13:51:29.232160,3,3,0,0,0,stage
2026-02-14T13:51:32.080985,3,3,0,0,0,stage
2026-02-14T13:51:33.721130,3,3,0,0,0,stage
2026-02-14T13:51:34.172120,3,3,0,0,0,stage
2026-02-14T13:51:34.234704,3,3,0,0,0,stage
2026-02-14T13:51:37.083001,3,3,0,0,0,stage
2026-02-14T13:51:38.722849,3,3,0,0,0,stage
2026-02-14T13:51:39.174030,3,3,0,0,0,stage
2026-02-14T13:51:39.236266,3,3,0,0,0,stage
2026-02-14T13:51:42.085241,3,3,0,0,0,stage
2026-02-14T13:51:43.724215,3,3,0,0,0,stage
2026-02-14T13:51:44.176244,3,3,0,0,0,stage
2026-02-14T13:51:44.238074,3,3,0,0,0,stage
2026-02-14T13:51:47.086908,3,3,0,0,0,stage
2026-02-14T13:51:48.725877,3,3,0,0,0,stage
2026-02-14T13:51:49.178467,3,3,0,0,0,stage
2026-02-14T13:51:49.240318,3,3,0,0,0,stage
2026-02-14T13:51:52.088924,3,3,0,0,0,stage
2026-02-14T13:51:53.728706,3,3,0,0,0,stage
2026-02-14T13:51:54.181092,3,3,0,0,0,stage
2026-02-14T13:51:54.241730,3,3,0,0,0,stage
2026-02-14T13:51:57.091804,3,3,0,0,0,stage
2026-02-14T13:51:58.731543,3,3,0,0,0,stage
2026-02-14T13:51:59.183527,3,3,0,0,0,stage
2026-02-14T13:51:59.243710,3,3,0,0,0,stage
2026-02-14T13:52:02.094633,3,3,0,0,0,stage
2026-02-14T13:52:03.734957,3,3,0,0,0,stage
2026-02-14T13:52:04.186113,3,3,0,0,0,stage
2026-02-14T13:52:04.246099,3,3,0,0,0,stage
2026-02-14T13:52:07.097220,3,3,0,0,0,stage
2026-02-14T13:52:08.737703,3,3,0,0,0,stage
2026-02-14T13:52:09.188588,3,3,0,0,0,stage
2026-02-14T13:52:09.248701,3,3,0,0,0,stage
2026-02-14T13:52:12.100459,3,3,0,0,0,stage
2026-02-14T13:52:13.741180,3,3,0,0,0,stage
2026-02-14T13:52:14.192559,3,3,0,0,0,stage
2026-02-14T13:52:14.251273,3,3,0,0,0,stage
2026-02-14T13:52:17.102917,3,3,0,0,0,stage
2026-02-14T13:52:18.743487,3,3,0,0,0,stage
2026-02-14T13:52:19.196631,3,3,0,0,0,stage
2026-02-14T13:52:19.255376,3,3,0,0,0,stage
2026-02-14T13:52:22.106375,3,3,0,0,0,stage
2026-02-14T13:52:23.746718,3,3,0,0,0,stage
2026-02-14T13:52:24.198699,3,3,0,0,0,stage
2026-02-14T13:52:24.258023,3,3,0,0,0,stage
2026-02-14T13:52:27.109155,3,3,0,0,0,stage
2026-02-14T13:52:28.750676,3,3,0,0,0,stage
2026-02-14T13:52:29.201471,3,3,0,0,0,stage
2026-02-14T13:52:29.261212,3,3,0,0,0,stage
2026-02-14T13:52:32.111682,3,3,0,0,0,stage
2026-02-14T13:52:33.753885,3,3,0,0,0,stage
2026-02-14T13:52:34.204667,3,3,0,0,0,stage
2026-02-14T13:52:34.262985,3,3,0,0,0,stage
2026-02-14T13:52:37.114816,3,3,0,0,0,stage
2026-02-14T13:52:38.758303,3,3,0,0,0,stage
2026-02-14T13:52:39.207817,3,3,0,0,0,stage
2026-02-14T13:52:39.264916,3,3,0,0,0,stage
2026-02-14T13:52:42.117369,3,3,0,0,0,stage
2026-02-14T13:52:43.760898,3,3,0,0,0,stage
2026-02-14T13:52:44.211310,3,3,0,0,0,stage
2026-02-14T13:52:44.267548,3,3,0,0,0,stage
2026-02-14T13:52:47.119477,3,3,0,0,0,stage
2026-02-14T13:52:48.763998,3,3,0,0,0,stage
2026-02-14T13:52:49.214091,3,3,0,0,0,stage
2026-02-14T13:52:49.269449,3,3,0,0,0,stage
2026-02-14T13:52:52.122309,3,3,0,0,0,stage
2026-02-14T13:52:53.767317,3,3,0,0,0,stage
2026-02-14T13:52:54.216592,3,3,0,0,0,stage
2026-02-14T13:52:54.271710,3,3,0,0,0,stage
2026-02-14T13:52:57.124585,3,3,0,0,0,stage
2026-02-14T13:52:58.769608,3,3,0,0,0,stage
2026-02-14T13:52:59.219446,3,3,0,0,0,stage
2026-02-14T13:52:59.273772,3,3,0,0,0,stage
2026-02-14T13:53:02.126305,3,3,0,0,0,stage
2026-02-14T13:53:03.771421,3,3,0,0,0,stage
2026-02-14T13:53:04.221940,3,3,0,0,0,stage
2026-02-14T13:53:04.276048,3,3,0,0,0,stage
2026-02-14T13:53:07.128617,3,3,0,0,0,stage
2026-02-14T13:53:08.774291,3,3,0,0,0,stage
2026-02-14T13:53:09.223903,3,3,0,0,0,stage
2026-02-14T13:53:09.278835,3,3,0,0,0,stage
2026-02-14T13:53:12.131144,3,3,0,0,0,stage
2026-02-14T13:53:13.776454,3,3,0,0,0,stage
2026-02-14T13:53:14.226028,3,3,0,0,0,stage
2026-02-14T13:53:14.280909,3,3,0,0,0,stage
2026-02-14T13:53:17.133548,3,3,0,0,0,stage
2026-02-14T13:53:18.779216,3,3,0,0,0,stage
2026-02-14T13:53:19.229056,3,3,0,0,0,stage
2026-02-14T13:53:19.283075,3,3,0,0,0,stage
2026-02-14T13:53:22.135765,3,3,0,0,0,stage
2026-02-14T13:53:23.782666,3,3,0,0,0,stage
2026-02-14T13:53:24.231274,3,3,0,0,0,stage
2026-02-14T13:53:24.285734,3,3,0,0,0,stage
2026-02-14T13:53:27.137898,3,3,0,0,0,stage
2026-02-14T13:53:28.784551,3,3,0,0,0,stage
2026-02-14T13:53:29.233698,3,3,0,0,0,stage
2026-02-14T13:53:29.287961,3,3,0,0,0,stage
2026-02-14T13:53:32.139692,3,3,0,0,0,stage
2026-02-14T13:53:33.787415,3,3,0,0,0,stage
2026-02-14T13:53:34.236100,3,3,0,0,0,stage
2026-02-14T13:53:34.289865,3,3,0,0,0,stage
2026-02-14T13:53:37.142373,3,3,0,0,0,stage
2026-02-14T13:53:38.789988,3,3,0,0,0,stage
2026-02-14T13:53:39.239532,3,3,0,0,0,stage
2026-02-14T13:53:39.293370,3,3,0,0,0,stage
2026-02-14T13:53:42.144407,3,3,0,0,0,stage
2026-02-14T13:53:43.792967,3,3,0,0,0,stage
2026-02-14T13:53:44.241792,3,3,0,0,0,stage
2026-02-14T13:53:44.296746,3,3,0,0,0,stage
2026-02-14T13:53:47.146302,3,3,0,0,0,stage
2026-02-14T13:53:48.794274,3,3,0,0,0,stage
2026-02-14T13:53:49.244024,3,3,0,0,0,stage
2026-02-14T13:53:49.299795,3,3,0,0,0,stage
2026-02-14T13:53:52.149081,3,3,0,0,0,stage
2026-02-14T13:53:53.797436,3,3,0,0,0,stage
2026-02-14T13:53:54.246967,3,3,0,0,0,stage
2026-02-14T13:53:54.302875,3,3,0,0,0,stage
2026-02-14T13:53:57.152150,3,3,0,0,0,stage
2026-02-14T13:53:58.798941,3,3,0,0,0,stage
2026-02-14T13:53:59.249244,3,3,0,0,0,stage
2026-02-14T13:53:59.305034,3,3,0,0,0,stage
2026-02-14T13:54:02.155853,3,3,0,0,0,stage
2026-02-14T13:54:03.801322,3,3,0,0,0,stage
2026-02-14T13:54:04.253657,3,3,0,0,0,stage
2026-02-14T13:54:04.307392,3,3,0,0,0,stage
2026-02-14T13:54:07.158229,3,3,0,0,0,stage
2026-02-14T13:54:08.805018,3,3,0,0,0,stage
2026-02-14T13:54:09.257516,3,3,0,0,0,stage
2026-02-14T13:54:09.311201,3,3,0,0,0,stage
2026-02-14T13:54:12.161143,3,3,0,0,0,stage
2026-02-14T13:54:13.808320,3,3,0,0,0,stage
2026-02-14T13:54:14.260227,3,3,0,0,0,stage
2026-02-14T13:54:14.314915,3,3,0,0,0,stage
2026-02-14T13:54:17.163695,3,3,0,0,0,stage
2026-02-14T13:54:18.810036,3,3,0,0,0,stage
2026-02-14T13:54:19.264271,3,3,0,0,0,stage
2026-02-14T13:54:19.317858,3,3,0,0,0,stage
2026-02-14T13:54:22.166457,3,3,0,0,0,stage
2026-02-14T13:54:23.812801,3,3,0,0,0,stage
2026-02-14T13:54:24.267255,3,3,0,0,0,stage
2026-02-14T13:54:24.321017,3,3,0,0,0,stage
2026-02-14T13:54:27.168863,3,3,0,0,0,stage
2026-02-14T13:54:28.816944,3,3,0,0,0,stage
2026-02-14T13:54:29.270435,3,3,0,0,0,stage
2026-02-14T13:54:29.323936,3,3,0,0,0,stage
2026-02-14T13:54:32.171465,3,3,0,0,0,stage
2026-02-14T13:54:33.820053,3,3,0,0,0,stage
2026-02-14T13:54:34.272593,3,3,0,0,0,stage
