timestamp,service_name,operation,latency_ms,p50_ms,p95_ms,p99_ms,environment
2026-01-23T15:00:31.465048,deploy_prod,deploy,150,150,150,150,prod
2026-01-23T15:39:52.184933,deploy_prod,deploy,150,150,150,150,prod
2026-01-23T15:42:21.806260,deploy_prod,deploy,150,150,150,150,prod
2026-01-23T15:43:09.858631,deploy_prod,deploy,150,150,150,150,prod
2026-01-23T15:43:51.022711,deploy_prod,deploy,150,150,150,150,prod
2026-01-23T15:49:07.931002,deploy_prod,deploy,120,120,120,120,prod
2026-01-23T15:49:09.008765,scale_prod,scale_horizontal,0,0,0,0,prod
